**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th01 17 04:13:36 <clayg>	all this crap and all these extra patches and non-sense was me struggling to come up with the followup diff
Th01 17 04:14:29 <clayg>	if the split up patches got some traction - because they were easier to review - it would have validated that splitting them up was the right way to go - and maybe it'd be easier to iterate and merge the fixes seperately
Th01 17 04:14:47 <clayg>	but... we're ... 3-4 working days in on that?
Th01 17 04:15:14 <clayg>	and I've learned it's hard to merge some of the changes together (we were just talking about it - my split patches conflict with each other - we can't just merge them all w/o a rebase)
Th01 17 04:15:20 <clayg>	so it's a big $%^&*ing mess
Th01 17 04:15:32 <clayg>	so I'm not going to tell you the right thing to do - because I have no idea
Th01 17 04:21:43 <clayg>	PavelK: notmyname can attest this whole thing has been a bit of an existential crisis for me
Th01 17 04:22:25 <clayg>	but no one seems to want to tell me how we should proceed either
Th01 17 04:26:05 <ahale>	well, i have mostly no idea what you're doing since i havent paid any attention to swift for ages, but i think its cool you're looking at hashes stuff clayg, it used to give me nightmares sometimes. and i also think the coolest parts of swift are the hard bits when noone knows cos its not been done before 
Th01 17 04:29:31 <clayg>	ahale: not me, PavelK 
Th01 17 04:29:42 <clayg>	+1 PavelK is awesome for looking at the hard stuff
Th01 17 04:29:54 <ahale>	thats how little attention i have paid! , yeah +1 to that :)
Th01 17 04:54:19 <PavelK>	clayg: conflicts was the reason why I made one patch. But I think that your patches can be merged independently and the fourth - "inode" can be rebased on them and merged later.
Th01 17 04:56:11 <PavelK>	clayg: So I leave my patch as is and abandon it after your patches were merged, right?
Th01 17 04:57:20 <clayg>	heh, idk == "I don't know" ;)
Th01 17 04:57:52 <clayg>	maybe folks are scared to review the other suffix fixes because they think I get frustrated things are moving to slowly and go +A you patch anyway (I totaly might!)
Th01 17 05:00:47 <clayg>	for the moment I'm trying to review patch 219165 (look at the size of the diff to proxy test_server !?)
Th01 17 05:00:48 <patchbot>	https://review.openstack.org/#/c/219165/ - swift - EC Fragment Duplication - Foundational Global EC C...
Th01 17 05:14:53 *	ChanServ gives voice to jrichli
Th01 17 05:29:43 <jrichli>	yay, bouncer restored :-)
Th01 17 05:38:51 <clayg>	wtf is frags_by_byte_order?
Th01 17 05:39:07 <clayg>	like ... endianness !?
Th01 17 05:57:13 <lespaul>	Hello. I uploaded an object to my cluster (6 nodes w/ 2 drives each). I ran swift-get-nodes and found the replicas on the target nodes. I then powered of 2 of the nodes w/ replicas. I checked swift-get-nodes again and it still lists the same. Should the replica be copied to the handoff nodes?
Th01 17 05:57:37 <lespaul>	*Shouldn't
Th01 17 06:17:40 <lespaul>	I don't think swift-get-nodes shows accurate information. If I run swift-get-nodes -a /etc/swift/ <ring.gz> <account> then make up a non-existent container and object, a result is still displayed. Thoughts? 
Th01 17 06:37:09 <torgomatic>	lespaul: swift-get-nodes just performs a ring lookup and shows you the results; it might be where a thing that exists is, it might be where a thing that exists will be after replication, or it might be where a thing that does not exist would go if you created it
Th01 17 06:48:14 <notmyname>	hello, world
Th01 17 06:51:57 <lespaul>	torgomatic: that makes sense. is there a command that will give a real-time location of the replicas or fragments?
Th01 17 07:16:55 <torgomatic>	lespaul: you can run those curl commands that swift-get-nodes spits out and that'll tell you what's where, but AFAIK there's nothing to automate that for a single object
Th01 17 07:17:26 <torgomatic>	swift-dispersion-report does that for the entire cluster
Th01 17 07:24:13 <clayg>	r with swift-dispersion-report or something similar you can always make the call to remove dead-not-coming-back nodes from the ring will reassign the primaries
Th01 17 07:24:27 <clayg>	...
Th01 17 07:24:44 <clayg>	weird..
Th01 17 07:25:18 <clayg>	i was trying to say that powering off the nodes won't trigger over-replication - the assumption is unavailability - not a loss in durability
Th01 17 07:25:50 <clayg>	if you start over-replication on split brain or network congestion or timeout you can fill up your cluster pretty quick
Th01 17 07:26:59 <clayg>	... and then lastly yeah - if overall partition health dictates - you always have the option to make a ring change to remove the downed nodes and rebalance
Th01 17 07:42:23 <kota_>	morning
Th01 17 07:46:08 <notmyname>	if i'm reading the ML correctly, it looks like we need to tag a swiftclient release this week
Th01 17 07:48:50 <clayg>	notmyname: do you?  i missed that?
Th01 17 07:50:16 <notmyname>	from http://lists.openstack.org/pipermail/openstack-dev/2017-January/110218.html
Th01 17 07:50:22 <mattoliverau>	notmyname: richard said this morning he needs to tag or organise a release for horizon this week, so yeah, we probably do.
Th01 17 07:50:35 <notmyname>	Library projects should be branched with, or shortly after, their
Th01 17 07:50:35 <notmyname>	  final release this week (use Jan 19 as the deadline)
Th01 17 07:51:14 <clayg>	are we releasing Octocat this week?
Th01 17 07:51:38 <notmyname>	no
Th01 17 07:51:44 <clayg>	scared me
Th01 17 07:51:55 <notmyname>	but they always want the library projects to release quite a bit earlier
Th01 17 07:52:49 <notmyname>	oh! I think we have another week https://releases.openstack.org/ocata/schedule.html
Th01 17 07:52:58 <notmyname>	this is "non-client libraries"
Th01 17 07:54:17 <mattoliverau>	\o/ now get back to watching a talk or something :P
Th01 17 07:55:51 <notmyname>	anyone can watch https://linux.conf.au/stream
Th01 17 08:18:40 <kota_>	clayg: here?
Th01 17 08:18:51 <clayg>	kota_: hi kota_ :D
Th01 17 08:19:00 <kota_>	hi clayg
Th01 17 08:19:10 <kota_>	I'm now looking/condidering about the patch https://review.openstack.org/#/c/418690/
Th01 17 08:19:11 <patchbot>	patch 418690 - swift - Fix race in new partitions detecting new/invalid s...
Th01 17 08:20:30 <kota_>	exactly, we should move to drop for using getmtime for file validation (i mean not modified since the last reference)
Th01 17 08:20:55 <kota_>	clayg: but not sure I could follow your idea completely
Th01 17 08:21:27 <kota_>	clayg: because the shell for-loop looks to report nothing you expected
Th01 17 08:21:29 <clayg>	kota_: my thought was just that that change needs to mock getmtime or else it doesn't pass reliably
Th01 17 08:21:42 <kota_>	clayg: the console log is https://gist.github.com/bloodeagle40234/2239939c6cb42b6b23635936a427ef34
Th01 17 08:22:05 <clayg>	kota_: oic, on my machine with your diff applied (to drop the getmtime mocking) it fails predicably for me
Th01 17 08:22:12 <kota_>	clayg: it looks like, all tests passed for 10 times, correctly
Th01 17 08:22:13 <clayg>	the test works for me as written
Th01 17 08:22:28 <clayg>	... only fails if I remove the getmtime mocking
Th01 17 08:22:30 <kota_>	clayg: i ran it with my patch
Th01 17 08:23:01 <clayg>	perhaps your computer is slower than mine ;)  or your mounted filesystem has better getmtime resolution?
Th01 17 08:23:21 <kota_>	clayg: and then, I just checked also the situation Pavel reported (i.e. getmtime could increment the mtime in LXC), https://gist.github.com/bloodeagle40234/9eaf53aac466003cc8e6c43b0a0f66b2
Th01 17 08:24:02 <clayg>	kota_: well I think that as long as you force it to be bigger the mock works
Th01 17 08:24:10 <kota_>	it also doesn't fail, because even if we got different mtime there, IIRC, it's ok if no new entry comming to invalidation file?
Th01 17 08:24:19 <clayg>	it's only when the filesystem might return the same mtime for a file that was modified will you loose the second update
Th01 17 08:25:07 <kota_>	clayg: ah, my laptop may be slower.... though :/
